[2021-11-30T11:33:48.389] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:34:29.983] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:34:31.123] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:35:15.464] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:35:58.958] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:35:59.829] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:36:02.561] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:36:05.896] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:36:07.239] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:37:17.542] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:37:18.913] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:37:26.976] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:37:31.468] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:37:36.645] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:37:39.266] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:38:23.748] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:38:25.830] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:38:50.479] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:38:58.074] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:38:59.515] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:39:01.179] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:39:30.436] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:39:33.798] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:39:44.317] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:40:50.123] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:40:53.128] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:40:56.604] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:43:27.402] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:44:34.594] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:45:03.192] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:46:11.778] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:46:37.203] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:47:12.541] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:47:15.260] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:47:16.760] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:52:21.466] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:52:29.550] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:53:38.830] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:56:01.612] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:57:23.147] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:57:55.693] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:58:40.139] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:59:26.617] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:59:32.166] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T11:59:38.067] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:02:11.156] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:02:29.502] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:02:41.298] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:02:56.058] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:03:19.420] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:04:31.061] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:04:34.571] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:08:19.510] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:10:45.002] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T12:12:57.274] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:19:00.656] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:22:04.281] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:44:56.604] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:48:36.039] [TRACE] ma-core - A user connected, Total users connected is: 
