[2023-10-29T13:43:47.936] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.938] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.939] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.941] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.942] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.943] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-29T13:43:47.944] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.946] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.948] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.950] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.952] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.953] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.956] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.958] [INFO] ma-core - Shift Unassigned reminder cron launched
